"Time","Value"
1734707523000,
1734707523500,
1734707524000,
1734707524500,689
1734707525000,
1734707525500,
1734707526000,
1734707526500,692
1734707527000,
1734707527500,
1734707528000,691
1734707528500,
1734707529000,
1734707529500,
1734707530000,691
1734707530500,
1734707531000,
1734707531500,
1734707532000,689
1734707532500,
1734707533000,
1734707533500,
1734707534000,690
1734707534500,
1734707535000,
1734707535500,
1734707536000,689
1734707536500,
1734707537000,
1734707537500,691
1734707538000,
1734707538500,
1734707539000,
1734707539500,691
1734707540000,
1734707540500,
1734707541000,
1734707541500,692
1734707542000,
1734707542500,
1734707543000,
1734707543500,691
1734707544000,
1734707544500,
1734707545000,
1734707545500,691
1734707546000,
1734707546500,
1734707547000,690
1734707547500,
1734707548000,
1734707548500,
1734707549000,689
1734707549500,
1734707550000,
1734707550500,
1734707551000,691
1734707551500,
1734707552000,
1734707552500,
1734707553000,689
1734707553500,
1734707554000,
1734707554500,
1734707555000,691
1734707555500,
1734707556000,
1734707556500,692
1734707557000,
1734707557500,
1734707558000,
1734707558500,688
1734707559000,
1734707559500,
1734707560000,
1734707560500,689
1734707561000,
1734707561500,
1734707562000,
1734707562500,691
1734707563000,
1734707563500,
1734707564000,
1734707564500,689
1734707565000,
1734707565500,
1734707566000,692
1734707566500,
1734707567000,
1734707567500,
1734707568000,
1734707568500,690
1734707569000,
1734707569500,
1734707570000,690
1734707570500,
1734707571000,
1734707571500,
1734707572000,691
1734707572500,
1734707573000,
1734707573500,
1734707574000,689
1734707574500,
1734707575000,
1734707575500,693
1734707576000,
1734707576500,
1734707577000,
1734707577500,689
1734707578000,
1734707578500,
1734707579000,
1734707579500,689
1734707580000,
1734707580500,
1734707581000,
1734707581500,691
1734707582000,
1734707582500,
1734707583000,
1734707583500,689
1734707584000,
1734707584500,
1734707585000,691
1734707585500,
1734707586000,
1734707586500,
1734707587000,691
1734707587500,
1734707588000,
1734707588500,
1734707589000,691
1734707589500,
1734707590000,
1734707590500,
1734707591000,688
1734707591500,
1734707592000,
1734707592500,
1734707593000,691
1734707593500,
1734707594000,
1734707594500,691
1734707595000,
1734707595500,
1734707596000,
1734707596500,691
1734707597000,
1734707597500,
1734707598000,
1734707598500,690
1734707599000,
1734707599500,
1734707600000,
1734707600500,692
1734707601000,
1734707601500,
1734707602000,
1734707602500,689
1734707603000,
1734707603500,
1734707604000,690
1734707604500,
1734707605000,
1734707605500,
1734707606000,691
1734707606500,
1734707607000,
1734707607500,
1734707608000,689
1734707608500,
1734707609000,
1734707609500,
